strain_barcode	Strain_Name	Collection_month	Collection_year	Country	Lab_contact	Source_details	Source_niche	Source_type	sample_accession	secondary_sample_accession	secondary_study_accession	study_accession	MLST_ACHTMAN_ST
SAL_CA6915AA	68973	11	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03460539	SRS893668	SRP042645	PRJNA248792	11
SAL_CA2474AA	38784	8	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03477587	SRS904117	SRP042645	PRJNA248792	11
SAL_FA3988AA	184480	11	2015	United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04574091	SRS1356113	SRP042645	PRJNA248792	11
SAL_BA9525AA	Ke219-sc-2012-07-27T11:51:58Z-1458175				THE SANGER CENTER				SAMEA1692271	ERS158442	ERP001625	PRJEB3164	11
SAL_CA0894AA	CFSAN002046			Mexico	FOOD AND DRUG ADMINISTRATION CENTER FOR FOOD SAFETY AND APPLIED NUTRITION	ND	Human	Human	SAMN01889552	SRS397555	SRP018785	PRJNA186035	11
SAL_DA0841AA	H123300320	8	2012	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03169086	SRS740476	SRP042645	PRJNA248792	11
SAL_CA5926AA	48247	9	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03466544	SRS898691	SRP042645	PRJNA248792	11
SAL_BA9087AA	RD84-sc-2013-02-27T10:26:49Z-1500448				THE SANGER CENTER				SAMEA2053255	ERS217233	ERP001965	PRJEB634	11
SAL_FA3713AA	157325	9	2015	United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04575105	SRS1356654	SRP042645	PRJNA248792	11
SAL_FA3867AA	172472	10	2015	United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04574771	SRS1356306	SRP042645	PRJNA248792	11
SAL_FA3430AA	129404	6	2015	United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04576704	SRS1357811	SRP042645	PRJNA248792	11
SAL_CA4519AA	50854	9	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03475523	SRS902145	SRP042645	PRJNA248792	11
SAL_BA0182AA	06_6063-sc-2013-06-10T14:57:32Z-1611322				THE SANGER CENTER				SAMEA2080500	ERS255498	ERP001965	PRJEB634	11
SAL_CA6213AA	46151	9	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03466257	SRS898409	SRP042645	PRJNA248792	11
SAL_CA3248AA	65019	11	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03476801	SRS903430	SRP042645	PRJNA248792	11
SAL_CA2059AA	38393	8	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03477994	SRS904507	SRP042645	PRJNA248792	11
SAL_BA8048AA	25263	7	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03480078	SRS906615	SRP042645	PRJNA248792	2091
SAL_CA2877AA	9284	5	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03477172	SRS903740	SRP042645	PRJNA248792	11
SAL_EA9900AA	FDA00000848	6	2005	China	FDA Center for Food Safety and Applied Nutrition	chicken jerkey dog treats	Feed	Animal Feed	SAMN02844233	SRS1281871	SRP018785	PRJNA186035	11
SAL_BA7853AA	5924	4	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03480175	SRS906674	SRP042645	PRJNA248792	11
SAL_EA4108AA	NY58642507	8	2015	United States	None	"Stool/Fecal; Homo sapiens"	Human	Human	SAMN04044036	SRS1061528	SRP033012	PRJNA227458	11
SAL_CA4466AA	50874	9	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03475576	SRS902032	SRP042645	PRJNA248792	11
SAL_AA9832AA	UY035-sc-2013-10-08T14:24:22Z-1711482				THE SANGER CENTER				SAMEA2201669	ERS354072	ERP003958	PRJEB4649	11
SAL_DA0563AA	H122420304	6	2012	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03169499	SRS740783	SRP042645	PRJNA248792	11
SAL_BA1066AA	NY_55041710	3	2015	United States	Wadsworth Center / NYSDOH	"Urine; Homo sapiens"	Human	Human	SAMN03459232	SRS892991	SRP033012	PRJNA227458	11
SAL_CA3031AA	22227	6	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03477018	SRS903549	SRP042645	PRJNA248792	11
SAL_CA3890AA	65383	10	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03476160	SRS902884	SRP042645	PRJNA248792	11
SAL_FA8221AA	ARIM-SE1258-05	5	2005	Argentina	FDA Center for Food Safety and Applied Nutrition	"poultry; Gallus gallus"	Poultry	Avian	SAMN03743858	SRS1526521	SRP057694	PRJNA271293	11
SAL_FA3788AA	140241	7	2015	United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04574865	SRS1356568	SRP042645	PRJNA248792	11
SAL_CA6791AA	44741	9	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03465672	SRS897823	SRP042645	PRJNA248792	11
SAL_EA7709AA	21849			United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04363294	SRS1219670	SRP042645	PRJNA248792	11
SAL_BA4596AA	LB_SW824_10				THE SANGER CENTER				SAMEA2018793	ERS159711	ERP001671	PRJEB3186	11
SAL_DA0883AA	H123580521	8	2012	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03169047	SRS740433	SRP042645	PRJNA248792	11
SAL_EA7753AA	29289			United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04363249	SRS1219619	SRP042645	PRJNA248792	11
SAL_BA0156AA	06_6191-sc-2013-06-10T14:57:34Z-1611323				THE SANGER CENTER				SAMEA2077856	ERS255499	ERP001965	PRJEB634	11
SAL_CA6886AA	86879	2	2015	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03460568	SRS893637	SRP042645	PRJNA248792	11
SAL_CA3504AA	63620	9	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03476545	SRS903210	SRP042645	PRJNA248792	11
SAL_DA0474AA	H122080470	5	2012	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03169586	SRS740900	SRP042645	PRJNA248792	11
SAL_CA5212AA	69209	11	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03469629	SRS900658	SRP042645	PRJNA248792	11
SAL_BA5671AA	CFSAN032487	4	2008	Argentina	FOOD AND DRUG ADMINISTRATION CENTER FOR FOOD SAFETY AND APPLIED NUTRITION	"stool; Homo sapiens"	Human	Human	SAMN03492333	SRS922991	SRP057694	PRJNA271293	11
SAL_CA5257AA	69195	11	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03469189	SRS900512	SRP042645	PRJNA248792	11
SAL_CA5250AA	78758	12	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03469197	SRS900504	SRP042645	PRJNA248792	11
SAL_DA0585AA	H123440410	8	2012	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03169460	SRS740761	SRP042645	PRJNA248792	11
SAL_BA9428AA	5964	4	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03479386	SRS905883	SRP042645	PRJNA248792	11
SAL_DA0500AA	H124180493	10	2012	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03169561	SRS740873	SRP042645	PRJNA248792	11
SAL_BA0135AA	04_6072-sc-2013-06-10T14:57:25Z-1611316				THE SANGER CENTER				SAMEA2080498	ERS255492	ERP001965	PRJEB634	11
SAL_CA2203AA	29387	7	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03477858	SRS904479	SRP042645	PRJNA248792	11
SAL_CA4639AA	75979	12	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03475403	SRS902097	SRP042645	PRJNA248792	11
SAL_AA9955AA	UY070-sc-2013-10-08T14:25:01Z-1711517				THE SANGER CENTER				SAMEA2201704	ERS354107	ERP003958	PRJEB4649	11
SAL_AA9833AA	UY034-sc-2013-10-08T14:24:21Z-1711481				THE SANGER CENTER				SAMEA2201668	ERS354071	ERP003958	PRJEB4649	11
SAL_BA5566AA	1971-sc-2012-11-09T12:22:12Z-1500218				THE SANGER CENTER				SAMEA1712274	ERS188282	ERP001965	PRJEB634	11
SAL_BA9098AA	RD46-sc-2013-02-27T10:26:37Z-1500437				THE SANGER CENTER				SAMEA2053397	ERS217222	ERP001965	PRJEB634	11
SAL_GA3166AA	CFSAN005936		2005		UCD-100K	"Chicken; Gallus gallus"	Poultry	Avian	SAMN02368123	SRS535998	SRP022914	PRJNA203445	11
SAL_EA7187AA	6498			United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04363886	SRS1220204	SRP042645	PRJNA248792	11
SAL_GA3062AA	351907				The Genome Center at Washington University School of Medicine in St. Louis				SAMN02937553	SRS666075	SRP044798	PRJNA168730	11
SAL_EA7592AA	2307			United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04363417	SRS1219788	SRP042645	PRJNA248792	11
SAL_CA4666AA	39510	8	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03475376	SRS902064	SRP042645	PRJNA248792	11
SAL_BA9072AA	101_AM27283_B-sc-2013-02-27T10:27:07Z-1500463				THE SANGER CENTER				SAMEA2053283	ERS217248	ERP001965	PRJEB634	11
SAL_CA6592AA	54043	9	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03465878	SRS898004	SRP042645	PRJNA248792	11
SAL_DA3566AA	IEH-NGS-SAL-01212	11	2006	United States	FOOD AND DRUG ADMINISTRATION CENTER FOR FOOD SAFETY AND APPLIED NUTRITION	"patient isolate; Homo sapiens"	Human	Human	SAMN02952822	SRS696148	SRP018785	PRJNA186035	11
SAL_DA5503AA	NY-swgs1346	6	2014	United States	FOOD AND DRUG ADMINISTRATION CENTER FOR FOOD SAFETY AND APPLIED NUTRITION	"Stool; Homo sapiens"	Human	Human	SAMN02905675	SRS663338	SRP033012	PRJNA227458	11
SAL_DA3801AA	IEH-NGS-SAL-01224	11	2006	United States	FOOD AND DRUG ADMINISTRATION CENTER FOR FOOD SAFETY AND APPLIED NUTRITION	"patient isolate; Homo sapiens"	Human	Human	SAMN02952834	SRS694850	SRP018785	PRJNA186035	11
SAL_BA0193AA	201300358-sc-2013-06-10T14:57:51Z-1611337				THE SANGER CENTER				SAMEA2080505	ERS255513	ERP001965	PRJEB634	11
SAL_DA8981AA	swgs1078	12	2013	United States		"Stool; Homo sapiens"	Human	Human	SAMN02676342	SRS568890	SRP033012	PRJNA227458	11
SAL_BA7332AA	09:MF0005148R				THE SANGER CENTER				SAMEA1030779	ERS037369	ERP000715	PRJEB2566	11
SAL_CA4170AA	27036	7	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03475879	SRS902430	SRP042645	PRJNA248792	11
SAL_EA7092AA	58597			United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04363982	SRS1220325	SRP042645	PRJNA248792	11
SAL_CA6829AA	44684	9	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03465634	SRS898023	SRP042645	PRJNA248792	11
SAL_BA7855AA	9246	4	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03480174	SRS906664	SRP042645	PRJNA248792	11
SAL_CA3901AA	38778	8	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03476149	SRS902855	SRP042645	PRJNA248792	11
SAL_CA3199AA	63703	10	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03476850	SRS903373	SRP042645	PRJNA248792	11
SAL_GA0487AA	gha114062-sc-2235395				The Wellcome Trust Sanger Institute				SAMEA3276298	ERS668155	ERP009684	PRJEB8666	11
SAL_EA4190AA	CFSAN024730		2010	Chile	FDA/CFSAN	Homo sapiens	Human	Human	SAMN03079675	SRS1041457	SRP018785	PRJNA186035	3000
SAL_CA6042AA	48258	9	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	ND	Food	ND	SAMN03466428	SRS898581	SRP042645	PRJNA248792	11
SAL_CA0835AA	61837	10	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03478650	SRS905204	SRP042645	PRJNA248792	11
SAL_BA9089AA	RD76-sc-2013-02-27T10:26:47Z-1500446				THE SANGER CENTER				SAMEA2053400	ERS217231	ERP001965	PRJEB634	11
SAL_CA5459AA	71395	11	2012	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	ND	ND	Other Mammal	SAMN03469024	SRS900309	SRP042645	PRJNA248792	11
SAL_FA0049AA	3293_1993-sc-2416915				THE SANGER CENTER				SAMEA3593750	ERS900899	ERP012313	PRJEB10999	11
SAL_CA1874AA	91294	2	2015	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03478088	SRS904603	SRP042645	PRJNA248792	11
SAL_AA8727AA	SE1385_06-sc-2013-07-15T10:31:24Z-1661431				THE SANGER CENTER				SAMEA2142557	ERS325078	ERP003509	PRJEB4240	11
SAL_DA3803AA	IEH-NGS-SAL-01222	11	2006	United States	FOOD AND DRUG ADMINISTRATION CENTER FOR FOOD SAFETY AND APPLIED NUTRITION	"patient isolate; Homo sapiens"	Human	Human	SAMN02952832	SRS694848	SRP018785	PRJNA186035	11
SAL_DA9010AA	MDH-2014-00217	4	2001	United States		"feces; Homo sapiens"	Human	Human	SAMN02646990	SRS569794	SRP040026	PRJNA237212	11
SAL_AA8733AA	SE42_13-sc-2013-07-15T10:31:18Z-1661424				THE SANGER CENTER				SAMEA2157002	ERS325071	ERP003509	PRJEB4240	11
SAL_BA9094AA	RD51-sc-2013-02-27T10:26:42Z-1500441				THE SANGER CENTER				SAMEA2054247	ERS217226	ERP001965	PRJEB634	11
SAL_CA4681AA	56130	9	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03475361	SRS902045	SRP042645	PRJNA248792	11
SAL_CA5206AA	70700	12	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03469636	SRS900656	SRP042645	PRJNA248792	11
SAL_CA2489AA	7425	4	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03477572	SRS904096	SRP042645	PRJNA248792	11
SAL_GA1210AA	Gallivac-sc-2140593				The Wellcome Trust Sanger Institute				SAMEA2794553	ERS556532	ERP007134	PRJEB7407	11
SAL_CA1705AA	65393	10	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03478184	SRS904694	SRP042645	PRJNA248792	2091
SAL_BA9097AA	RD45-sc-2013-02-27T10:26:38Z-1500438				THE SANGER CENTER				SAMEA2054181	ERS217223	ERP001965	PRJEB634	11
SAL_BA9105AA	RD6-sc-2013-02-27T10:26:29Z-1500430				THE SANGER CENTER				SAMEA2053249	ERS217215	ERP001965	PRJEB634	11
SAL_EA7100AA	7429			United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04363973	SRS1220307	SRP042645	PRJNA248792	11
SAL_FA7330AA	143553	8	2015	United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN05173203	SRS1466540	SRP042645	PRJNA248792	11
SAL_AA9847AA	UY031-sc-2013-10-08T14:24:18Z-1711478				THE SANGER CENTER				SAMEA2201665	ERS354068	ERP003958	PRJEB4649	11
SAL_AA9877AA	UY012-sc-2013-10-08T12:36:03Z-1711459				THE SANGER CENTER				SAMEA2201441	ERS353818	ERP003958	PRJEB4649	11
SAL_CA3071AA	45616	9	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03476978	SRS903655	SRP042645	PRJNA248792	11
SAL_CA0505AA	94263	3	2015	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03478826	SRS905361	SRP042645	PRJNA248792	11
SAL_CA4200AA	14507	5	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03475849	SRS902380	SRP042645	PRJNA248792	11
SAL_CA8687AA	CFSAN026627		2002	Belgium	FOOD AND DRUG ADMINISTRATION CENTER FOR FOOD SAFETY AND APPLIED NUTRITION				SAMN03165673	SRS821646	SRP046787	PRJNA259341	11
SAL_CA1231AA	25347	7	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03478445	SRS905068	SRP042645	PRJNA248792	11
SAL_EA7626AA	20934			United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04363381	SRS1219753	SRP042645	PRJNA248792	11
SAL_BA6181AA	15MN00131	4	2015	United States	FOOD AND DRUG ADMINISTRATION CENTER FOR FOOD SAFETY AND APPLIED NUTRITION	"feces; Homo sapiens"	Human	Human	SAMN03487615	SRS919048	SRP040026	PRJNA237212	11
SAL_BA9615AA	9184	5	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03479272	SRS905777	SRP042645	PRJNA248792	11
SAL_EA4011AA	NY59080698	8	2015	United States	None	"Stool/Fecal; Homo sapiens"	Human	Human	SAMN04147775	SRS1101814	SRP033012	PRJNA227458	11
SAL_DA9009AA	MDH-2014-00248	6	2013	United States		"feces; Homo sapiens"	Human	Human	SAMN02647021	SRS569795	SRP040026	PRJNA237212	11
SAL_BA0163AA	201301913-sc-2013-06-10T14:57:52Z-1611338				THE SANGER CENTER				SAMEA2078100	ERS255514	ERP001965	PRJEB634	11
SAL_AA8732AA	SE736_95-sc-2013-07-15T10:31:19Z-1661425				THE SANGER CENTER				SAMEA2159950	ERS325072	ERP003509	PRJEB4240	11
SAL_FA3599AA	101470	4	2015	United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04576401	SRS1357613	SRP042645	PRJNA248792	11
SAL_CA5803AA	73536	9	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03468474	SRS899049	SRP042645	PRJNA248792	11
SAL_BA7766AA	31970	7	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03480219	SRS906836	SRP042645	PRJNA248792	11
SAL_GA1288AA	S4022_12-sc-2140711				The Wellcome Trust Sanger Institute				SAMEA2794669	ERS556648	ERP007134	PRJEB7407	11
SAL_BA9570AA	90184	2	2015	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03479296	SRS905788	SRP042645	PRJNA248792	11
SAL_CA6453AA	46612	7	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03466017	SRS898167	SRP042645	PRJNA248792	11
SAL_CA5971AA	50113	9	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03466499	SRS898651	SRP042645	PRJNA248792	11
SAL_FA3912AA	190575	11	2015	United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04574725	SRS1356178	SRP042645	PRJNA248792	11
SAL_DA9034AA	MDH-2014-00206	8	2000	United States		"feces; Homo sapiens"	Human	Human	SAMN02646979	SRS569717	SRP040026	PRJNA237212	11
SAL_DA1176AA	H123860321	9	2012	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03168696	SRS739965	SRP042645	PRJNA248792	11
SAL_FA6227AA	CFSAN032104	1	2014	United States	FDA Center for Food Safety and Applied Nutrition	"feces; Chicken"	Poultry	Avian	SAMN03577637	SRS1424177	SRP057873	PRJNA275961	11
SAL_AA9892AA	UY008-sc-2013-10-08T12:35:32Z-1711455				THE SANGER CENTER				SAMEA2201437	ERS353814	ERP003958	PRJEB4649	11
SAL_BA8730AA	36388	8	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03479736	SRS906251	SRP042645	PRJNA248792	11
SAL_BA9107AA	RD2-sc-2013-02-27T10:26:27Z-1500428				THE SANGER CENTER				SAMEA2053394	ERS217213	ERP001965	PRJEB634	11
SAL_DA1190AA	H122380504	6	2012	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03168646	SRS739951	SRP042645	PRJNA248792	11
SAL_EA7725AA	2306			United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04363277	SRS1219649	SRP042645	PRJNA248792	3123
SAL_EA7788AA	43932			United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04363214	SRS1219584	SRP042645	PRJNA248792	11
SAL_CA6027AA	63524	10	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03466444	SRS898594	SRP042645	PRJNA248792	11
SAL_BA7920AA	39483	8	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03480141	SRS906652	SRP042645	PRJNA248792	11
SAL_CA5686AA	71570	12	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03468616	SRS899285	SRP042645	PRJNA248792	11
SAL_CA3496AA	51275	9	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03476553	SRS903101	SRP042645	PRJNA248792	11
SAL_FA6421AA	PNUSAS002115			United States	Centers for Disease Control and Prevention Enteric Diseases Laboratory Branch				SAMN04925743	SRS1431797	SRP040281	PRJNA230403	11
SAL_CA5906AA	54048	9	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03466564	SRS898718	SRP042645	PRJNA248792	11
SAL_CA0735AA	45613	9	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03478698	SRS905234	SRP042645	PRJNA248792	11
SAL_EA7111AA	58593			United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04363962	SRS1220302	SRP042645	PRJNA248792	11
SAL_AA8731AA	SE1224_05-sc-2013-07-15T10:31:20Z-1661426				THE SANGER CENTER				SAMEA2159409	ERS325073	ERP003509	PRJEB4240	11
SAL_CA5049AA	74304	12	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03469816	SRS900755	SRP042645	PRJNA248792	11
SAL_AA9831AA	UY036-sc-2013-10-08T14:24:24Z-1711483				THE SANGER CENTER				SAMEA2201670	ERS354073	ERP003958	PRJEB4649	11
SAL_EA7873AA	1863			United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04363129	SRS1219467	SRP042645	PRJNA248792	11
SAL_FA3534AA	113499	5	2015	United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04576471	SRS1357693	SRP042645	PRJNA248792	11
SAL_CA5561AA	79069	1	2015	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03468921	SRS899791	SRP042645	PRJNA248792	11
SAL_DA4035AA	MDH-2014-00909	8	2014	United States	FOOD AND DRUG ADMINISTRATION CENTER FOR FOOD SAFETY AND APPLIED NUTRITION	"feces; Homo sapiens"	Human	Human	SAMN03001974	SRS688654	SRP040026	PRJNA237212	11
SAL_CA2449AA	57122	10	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03477612	SRS904138	SRP042645	PRJNA248792	11
SAL_AA9871AA	UY018-sc-2013-10-08T14:24:03Z-1711465				THE SANGER CENTER				SAMEA2201652	ERS354055	ERP003958	PRJEB4649	11
SAL_DA1051AA	H124020441	10	2012	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03168822	SRS740142	SRP042645	PRJNA248792	11
SAL_AA8728AA	SE1205_88-sc-2013-07-15T10:31:22Z-1661429				THE SANGER CENTER				SAMEA2155866	ERS325076	ERP003509	PRJEB4240	11
SAL_CA5039AA	79088	1	2015	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03469826	SRS900759	SRP042645	PRJNA248792	11
SAL_EA4825AA	FDA00009622	10	2015	United States	CFSAN	Beefhide chicken strips	Poultry	Avian	SAMN04226694	SRS1155426	SRP018785	PRJNA186035	11
SAL_CA6142AA	50149	9	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03466328	SRS898494	SRP042645	PRJNA248792	11
SAL_EA7420AA	53076			United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04363648	SRS1219968	SRP042645	PRJNA248792	11
SAL_BA9117AA	P14-sc-2013-02-27T10:26:22Z-1500423				THE SANGER CENTER				SAMEA2054176	ERS217208	ERP001965	PRJEB634	11
SAL_DA0916AA	H123480491	8	2012	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03169012	SRS740399	SRP042645	PRJNA248792	11
SAL_CA6766AA	44739	9	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03465698	SRS897825	SRP042645	PRJNA248792	11
SAL_CA6518AA	48208	9	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03465952	SRS898101	SRP042645	PRJNA248792	11
